EQPID,RECIPE,FLAG,LOT,PILOT
APDI708,6236P1-PHOTO,3,1,
APDI708,6445P1-PHOTO,2,1,
APDI708,6445P1-PHOTO,4,6,
APDI708,6445P1-PHOTO,5,4,
APDI708,7017P1-PHOTO,3,1,
APDI708,7017P1-PHOTO,6,3,
APDI708,7344AA-PHOTO,3,8,
APDI708,7344P1-PHOTO,1,11.125,
APDI708,7344P1-PHOTO,5,2,
APDI708,8666P1-PHOTO,4,0.125,pilot
APDI708,8666P1-PHOTO,6,0.125,
APDI708,8858M1-PHOTO,4,0.375,
APDI708,8858M1-PHOTO,5,0.375,
APDI708,8978P1-PHOTO,3,0.125,
APDI708,8978P1-PHOTO,5,0.125,
APDI708,8995AA-PHOTO,2,2.25,
APDI708,,,47.75,1

APDI901,8859P2-PHOTO,4,0.125,
APDI901,8859P2-PHOTO,5,0.125,
APDI901,IDLE,1,3,
APDI901,IDLE,2,7,
APDI901,IDLE,3,7,
APDI901,IDLE,4,7,
APDI901,IDLE,5,7,
APDI901,,,31.25,0

BPUVI01,4582M4-PHOTO,5,1,
BPUVI01,5250NLDD-PHOTO,5,1,
BPUVI01,5697CT-PHOTO,4,1,
BPUVI01,5697CT-PHOTO,5,1.75,
BPUVI01,5959AA-PHOTO,1,1,
BPUVI01,5959AA-PHOTO,3,7,
BPUVI01,6445AA-PHOTO,1,3,
BPUVI01,7017AA-PHOTO,6,8,
BPUVI01,7107NLDD-PHOTO,1,4,
BPUVI01,7107NLDD-PHOTO,5,1,
BPUVI01,7107PLDD1-PHOTO,6,1,
BPUVI01,7107PLDD2-PHOTO,5,1,
BPUVI01,7275CT-PHOTO,2,1,
BPUVI01,7275CT-PHOTO,4,2,
BPUVI01,7344AA-PHOTO,2,5,
BPUVI01,7344AA-PHOTO,4,5,
BPUVI01,7622PP-PHOTO2,1,1,
BPUVI01,8479VIA3-PHOTO,1,1.125,
BPUVI01,8992PLDD1-PHOTO,1,0.25,
BPUVI01,,,46.125,0

BPUVI02,3585NP-PHOTO,2,1,
BPUVI02,3585NP-PHOTO,5,1,
BPUVI02,4087M1-PHOTO,1,0.125,
BPUVI02,4087M1-PHOTO,4,0.125,
BPUVI02,4513PLDD2-PHOTO,3,1,
BPUVI02,4513PLDD2-PHOTO,5,1,
BPUVI02,5250NLDD-PHOTO,3,1,
BPUVI02,5334PLDD2-PHOTO,3,1,
BPUVI02,5334PLDD2-PHOTO,5,1,
BPUVI02,5334PLDD2-PHOTO,6,1,
BPUVI02,6200M3-PHOTO,5,2,
BPUVI02,6200VIA5-PHOTO,1,9,
BPUVI02,6200VIA5-PHOTO,4,3,
BPUVI02,6518AA-PHOTO,4,1,
BPUVI02,6518AA-PHOTO,5,2,
BPUVI02,6518CSD-PHOTO,3,1,
BPUVI02,6518CSD-PHOTO,6,1,
BPUVI02,6518M3-PHOTO,2,2,
BPUVI02,6748M4MIM-PHOTO,4,0.125,
BPUVI02,6748M4MIM-PHOTO,5,1,
BPUVI02,7002PP-PHOTO2,4,0.125,
BPUVI02,7002PP-PHOTO2,6,1,
BPUVI02,7470VIA1-PHOTO,3,2,
BPUVI02,7622PP-PHOTO2,4,0.125,
BPUVI02,7988NP-PHOTO2,4,1,
BPUVI02,8207PLDD2-PHOTO,3,1,
BPUVI02,8207PLDD2-PHOTO,5,1,
BPUVI02,8366NLDD2-PHOTO,3,1,
BPUVI02,8366NP-PHOTO2,6,1,
BPUVI02,8366PP-PHOTO2,2,1,
BPUVI02,8726BNP-PHOTO,2,1,
BPUVI02,8726BNP-PHOTO,6,1,
BPUVI02,8992PLDD1-PHOTO,3,0.25,
BPUVI02,9049NLDD-PHOTO,5,0.25,
BPUVI02,9062CT-PHOTO,4,0.25,pilot
BPUVI02,9062CT-PHOTO,6,0.5,
BPUVI02,,,42.875,1

BPUVI03,2721P1-PHOTO,3,0.125,
BPUVI03,2721P1-PHOTO,4,0.125,
BPUVI03,6200AA-PHOTO,4,5,
BPUVI03,6200AA-PHOTO,5,2,
BPUVI03,7176P1-PHOTO,5,2.125,
BPUVI03,7275M2-PHOTO,1,6,pilot
BPUVI03,7275M2-PHOTO,4,1,
BPUVI03,7275M2-PHOTO,5,2,
