EQPID,RECIPE,FLAG,LOT,PILOT
BPUVI57,6445P1-PHOTO,6,2,
BPUVI57,7017P1-PHOTO,1,4.125,
BPUVI57,7017P1-PHOTO,2,1,
BPUVI57,7017P1-PHOTO,4,3,
BPUVI57,7017P1-PHOTO,5,5,
BPUVI57,7344P1-PHOTO,4,5,
BPUVI57,7344P1-PHOTO,6,4.25,
BPUVI57,8042P1-PHOTO,1,2,
BPUVI57,8141P1-PHOTO,4,0.25,
BPUVI57,8875VIA2-PHOTO,2,0.25,
BPUVI57,,,45.25,0

BPUVI58,2344M1-PHOTO,5,0.75,
BPUVI58,2344VIA1-PHOTO,3,0.125,
BPUVI58,6427VIA3-PHOTO,1,1,
BPUVI58,6427VIA3-PHOTO,6,1,
BPUVI58,6445M2MIM-PHOTO,6,2,
BPUVI58,7275P1-PHOTO,2,6,pilot
BPUVI58,7275P1-PHOTO,3,1,
BPUVI58,7275P1-PHOTO,4,6,
BPUVI58,7275P1-PHOTO,6,3,
BPUVI58,7344M1-PHOTO,5,3,
BPUVI58,7344M3-PHOTO,5,1,
BPUVI58,7344VIA1-PHOTO,1,0.125,
BPUVI58,7402VIA4-PHOTO,3,1,
BPUVI58,7470VIA1-PHOTO,2,1,
BPUVI58,7492VIA3-PHOTO,1,3.125,
BPUVI58,7492VIA3-PHOTO,2,1,
BPUVI58,7492VIA3-PHOTO,3,1,
BPUVI58,8042M1-PHOTO,1,2,
BPUVI58,8042P1-PHOTO,3,6,pilot
BPUVI58,8042P1-PHOTO,4,2,
BPUVI58,8141TV1-PHOTO,1,1,
BPUVI58,8141VIA4-PHOTO,1,0.125,
BPUVI58,,,43.25,2

BPUVI59,0906TV1-PHOTO,2,1.125,
BPUVI59,3637M2MIM-PHOTO,1,1,
BPUVI59,4945DNW-PHOTO,6,1,pilot
BPUVI59,5958DNW-PHOTO,2,1,pilot
BPUVI59,5958DNW-PHOTO,3,4,
BPUVI59,6445DNW-PHOTO,6,2,pilot
BPUVI59,6445M1-PHOTO,1,2,
BPUVI59,7275NLDD2-PHOTO,4,0.125,
BPUVI59,7275NLDD2-PHOTO,5,6,
BPUVI59,7275NLDD2-PHOTO,6,5,
BPUVI59,7275NLDD-PHOTO,4,1,
BPUVI59,7295DNW-PHOTO,2,1,pilot
BPUVI59,7295DNW-PHOTO,6,2,
BPUVI59,7344CT-PHOTO,2,9,pilot
BPUVI59,7470PLDD-PHOTO,1,4,pilot
BPUVI59,7492TV1-PHOTO,1,1.125,
BPUVI59,8042DPW-PHOTO,1,1,pilot
BPUVI59,8042DPW-PHOTO,3,4.125,
BPUVI59,8042DPW-PHOTO,6,1,
BPUVI59,8379DPW-PHOTO,2,2,pilot
BPUVI59,,,49.5,8

BPUVI60,1377M3MIM-PHOTO,2,1,
BPUVI60,1377VIA3-PHOTO,1,1,
BPUVI60,1377VIA3-PHOTO,4,2,
BPUVI60,2055AA-PHOTO,1,2,
BPUVI60,2314AA-PHOTO,3,1,
BPUVI60,6680CT-PHOTO,5,0.125,
BPUVI60,7275AA-PHOTO,1,3,
BPUVI60,7275AA-PHOTO,2,8,
BPUVI60,7275AA-PHOTO,3,2,
BPUVI60,7344AA-PHOTO,5,7.125,
BPUVI60,7470CT-PHOTO,4,1,
BPUVI60,7470P1-PHOTO,6,3,
BPUVI60,7492AA-PHOTO,5,2,
BPUVI60,7492AA-PHOTO,6,5,
BPUVI60,7543CT-PHOTO,2,1,
BPUVI60,7543CT-PHOTO,5,1,
BPUVI60,7543CT-PHOTO,6,1,
BPUVI60,8042AA-PHOTO,1,2,
BPUVI60,8042AA-PHOTO,4,1,
BPUVI60,8379AA-PHOTO,1,2,
BPUVI60,,,46.25,0

BPUVI61,0027P1-PHOTO,1,1,
BPUVI61,1377M1-PHOTO,1,3,
BPUVI61,1377M1-PHOTO,3,1,
BPUVI61,1377M1-PHOTO,6,1,
BPUVI61,1377M2-PHOTO,1,1,
BPUVI61,1377M2-PHOTO,6,1,
BPUVI61,1377M3MIM-PHOTO,6,1,
BPUVI61,1377M3-PHOTO,3,1,
BPUVI61,1377VIA1-PHOTO,2,2,
BPUVI61,1377VIA2-PHOTO,1,3,
BPUVI61,1377VIA2-PHOTO,5,1,
BPUVI61,3637VIA1-PHOTO,3,1,
BPUVI61,4160P1-PHOTO,5,0.125,pilot
BPUVI61,4296P1-PHOTO,5,0.125,pilot
BPUVI61,4327TV1-PHOTO,1,0.125,
BPUVI61,4327TV1-PHOTO,2,1,
BPUVI61,4327TV1-PHOTO,3,0.125,
BPUVI61,4640P1-PHOTO,6,2,
BPUVI61,5884AA-PHOTO,1,1,
BPUVI61,5884AA-PHOTO,2,1,
BPUVI61,5884AA-PHOTO,4,1,
BPUVI61,6445AA-PHOTO,3,1,
BPUVI61,6479M1-PHOTO,4,0.375,
BPUVI61,7470M2-PHOTO,5,1,
BPUVI61,7470M2-PHOTO,6,1,
BPUVI61,7492M4-PHOTO,4,1,
BPUVI61,7492VIA3-PHOTO,6,4.125,
BPUVI61,8078NP-PHOTO1,4,0.125,
BPUVI61,8141AA-PHOTO,2,1,
BPUVI61,8141AA-PHOTO,3,2,
BPUVI61,8141AA-PHOTO,6,1,
BPUVI61,8270AA-PHOTO,3,1.125,
BPUVI61,8389AA-PHOTO,1,2,
BPUVI61,8389AA-PHOTO,2,2,
BPUVI61,8393NP-PHOTO1,3,0.375,
BPUVI61,8393NP-PHOTO1,6,0.375,
BPUVI61,8827NW2-PHOTO1,4,0.375,
BPUVI61,,,42.375,2

BPUVI91,IDLE,1,3,
BPUVI91,IDLE,2,7,
BPUVI91,IDLE,3,7,
BPUVI91,IDLE,4,7,
BPUVI91,IDLE,5,7,
BPUVI91,,,31,0

DPDI701,6445CT-PHOTO,1,7,
DPDI701,6445CT-PHOTO,6,6,
DPDI701,7275CT-PHOTO,3,1,
DPDI701,7275CT-PHOTO,5,3,
DPDI701,7344CT-PHOTO,3,2,
DPDI701,7344CT-PHOTO,4,4,
DPDI701,7344CT-PHOTO,5,1,
DPDI701,8042CT-PHOTO,2,8,
DPDI701,8042CT-PHOTO,3,6,
DPDI701,8042CT-PHOTO,4,2,
DPDI701,8042CT-PHOTO,5,1,
DPDI701,8042CT-PHOTO,6,4,
DPDI701,8379VIA2-PHOTO,1,1.5,
DPDI701,,,46.5,0

DPDI702,5697M3-PHOTO,4,1,
DPDI702,5697M4-PHOTO,2,3,
DPDI702,5697M4-PHOTO,4,1,
DPDI702,5697VIA1-PHOTO,1,2,
DPDI702,5697VIA1-PHOTO,2,1,
DPDI702,5697VIA1-PHOTO,3,2,
DPDI702,5958M1-PHOTO,3,1,
DPDI702,5958M1-PHOTO,5,1,
DPDI702,5958M1-PHOTO,6,1,
DPDI702,6445M2MIM-PHOTO,4,1,
DPDI702,6445M2-PHOTO,4,2,
DPDI702,6445M3-PHOTO,3,2,
DPDI702,6445M3-PHOTO,5,0.125,
DPDI702,6445M4-PHOTO,4,2,
DPDI702,6445VIA3-PHOTO,2,1,
DPDI702,6445VIA3-PHOTO,4,1,
DPDI702,7344M1-PHOTO,1,4,
DPDI702,7344M1-PHOTO,3,4,
DPDI702,7344VIA1-PHOTO,2,1,
DPDI702,7344VIA1-PHOTO,5,6.125,
DPDI702,7344VIA1-PHOTO,6,4,
DPDI702,7344VIA2-PHOTO,2,1.125,
DPDI702,,,42.375,0

DPDI804,3637M2MIM-PHOTO,3,1,pilot
DPDI804,5958M3-PHOTO,5,1,
DPDI804,5958M3-PHOTO,6,2,
DPDI804,6445M2-PHOTO,5,1,
DPDI804,6445M4-PHOTO,3,1,
DPDI804,6445M4-PHOTO,5,1,
DPDI804,6445M4-PHOTO,6,1,
DPDI804,7017PLDD-PHOTO,2,1,pilot
DPDI804,7017PLDD-PHOTO,3,1,
DPDI804,7275VIA2-PHOTO,1,5.125,
DPDI804,7275VIA2-PHOTO,4,3,
DPDI804,7275VIA2-PHOTO,5,0.125,
DPDI804,7344M2MIM-PHOTO,1,2,
DPDI804,7344M2MIM-PHOTO,4,11,
DPDI804,7344M2MIM-PHOTO,5,2,
DPDI804,7344M2MIM-PHOTO,6,1,
DPDI804,7344M2-PHOTO,2,7,
DPDI804,7344M2-PHOTO,5,1,
DPDI804,7344M3-PHOTO,6,1,
DPDI804,,,43.25,2

